#k   pk
4.741739017245225670e-04 1.263628336081098951e+03
4.788979547617729982e-04 1.275660087315470491e+03
4.836690721292576925e-04 1.287804280724271848e+03
4.884877227148476169e-04 1.300061912263997328e+03
4.933543800778075446e-04 1.312433985829000221e+03
4.982695224953285476e-04 1.324921513302091626e+03
5.032336330095362386e-04 1.337525514605334820e+03
5.082471994749607203e-04 1.350247017750921259e+03
5.133107146064806552e-04 1.363087058892252116e+03
5.184246760277462290e-04 1.376046682375099635e+03
5.235895863200834988e-04 1.389126940788958564e+03
5.288059530718861988e-04 1.402328895018496951e+03
5.340742889284996655e-04 1.415653613079107345e+03
5.393951116426018693e-04 1.429102163250516242e+03
5.447689441250861070e-04 1.442675618604472447e+03
5.501963144964508836e-04 1.456375060217360897e+03
5.556777561387014289e-04 1.470201577220055697e+03
5.612138077477688133e-04 1.484156266838653892e+03
5.668050133864507801e-04 1.498240234435117372e+03
5.724519225378804773e-04 1.512454593547825652e+03
5.781550901595272065e-04 1.526800465932053157e+03
5.839150767377361290e-04 1.541278981600306224e+03
5.897324483428103984e-04 1.555891278862597119e+03
5.956077766846426579e-04 1.570638504366569350e+03
6.015416391689005658e-04 1.585521813137539311e+03
6.075346189537722021e-04 1.600542368618388309e+03
6.135873050072763448e-04 1.615701342709316350e+03
6.197002921651444465e-04 1.630999915807494745e+03
6.258741811892788633e-04 1.646439276846555686e+03
6.321095788267934099e-04 1.662020623335901291e+03
6.384070978696423102e-04 1.677745161399927838e+03
6.447673572148429665e-04 1.693614105817011932e+03
6.511909819252990504e-04 1.709628680058373675e+03
6.576786032912294465e-04 1.725790116326752241e+03
6.642308588922091195e-04 1.742099655594898877e+03
6.708483926598278685e-04 1.758558546938306108e+03
6.775318549409735814e-04 1.775168037974138997e+03
6.842819025617463864e-04 1.791929376992773996e+03
6.910991988920084719e-04 1.808843820295701107e+03
6.979844139105782471e-04 1.825912632401009660e+03
7.049382242710726387e-04 1.843137086063814195e+03
7.119613133684071738e-04 1.860518462296210828e+03
7.190543714059563409e-04 1.878058050386644481e+03
7.262180954633851810e-04 1.895757147918821147e+03
7.334531895651552526e-04 1.913617060790036703e+03
7.407603647497136437e-04 1.931639103228923659e+03
7.481403391393712113e-04 1.949824597812699267e+03
7.555938380108770955e-04 1.968174875483756523e+03
7.631215938666962304e-04 1.986691275565746537e+03
7.707243465069967903e-04 2.005375145778974002e+03
7.784028431023552698e-04 2.024227842255251971e+03
7.861578382671857018e-04 2.043250729552088387e+03
7.939900941339000625e-04 2.062445180666250963e+03
8.019003804278081009e-04 2.081812577046684055e+03
8.098894745427631008e-04 2.101354308606748873e+03
8.179581616175613792e-04 2.121071773735815896e+03
8.261072346131023529e-04 2.140966379310142656e+03
8.343374943903184970e-04 2.161039540703076000e+03
8.426497497888806162e-04 2.181292681547409757e+03
8.510448177066876453e-04 2.201727223182684611e+03
8.595235231801483505e-04 2.222344580217816656e+03
8.680866994652631716e-04 2.243146173740288759e+03
8.767351881195131454e-04 2.264133432333870132e+03
8.854698390845655576e-04 2.285307792061357759e+03
8.942915107698025043e-04 2.306670696446092734e+03
9.032010701366825550e-04 2.328223596452365655e+03
9.121993927839427800e-04 2.349967950464617388e+03
9.212873630336486245e-04 2.371905224265449760e+03
9.304658740181027954e-04 2.394036891012412980e+03
9.397358277676181497e-04 2.416364431213579337e+03
9.490981352991664007e-04 2.438889332701839976e+03
9.585537167059094733e-04 2.461613090607961112e+03
9.681035012476227244e-04 2.484537207332336038e+03
9.777484274420193515e-04 2.507663192515465653e+03
9.874894431569842309e-04 2.530992563007048830e+03
9.973275057037270502e-04 2.554526842833840419e+03
1.007263581930863735e-03 2.578267563166059517e+03
1.017298648319433325e-03 2.602216262282476237e+03
1.027433691078865263e-03 2.626374485534093765e+03
1.037669706243898177e-03 2.650743785306417976e+03
1.048007699772467941e-03 2.675325720980297319e+03
1.058448687644568701e-03 2.700121858848632201e+03
1.068993695962100520e-03 2.725133754514891280e+03
1.079643761049709936e-03 2.750362924808243406e+03
1.090399929556636668e-03 2.775810883969399583e+03
1.101263258559574470e-03 2.801479150371626019e+03
1.112234815666556789e-03 2.827369246415827547e+03
1.123315679121876954e-03 2.853482698423272723e+03
1.134506937912054415e-03 2.879821036525990621e+03
1.145809691872856119e-03 2.906385794554680615e+03
1.157225051797384965e-03 2.933178509924300670e+03
1.168754139545243129e-03 2.960200723517138613e+03
1.180398088152785673e-03 2.987453979563392295e+03
1.192158041944470703e-03 3.014939825519394162e+03
1.204035156645318896e-03 3.042659811943115528e+03
1.216030599494494734e-03 3.070615492367332081e+03
1.228145549360017694e-03 3.098808423170072729e+03
1.240381196854617712e-03 3.127240163442615994e+03
1.252738744452744010e-03 3.155912274854763382e+03
1.265219406608739236e-03 3.184826321517592078e+03
1.277824409876192986e-03 3.213983869843458251e+03
1.290554993028481239e-03 3.243386488403424210e+03
1.303412407180509899e-03 3.273035747781915234e+03
1.316397915911669174e-03 3.302933220428743880e+03
1.329512795390013326e-03 3.333080480508305300e+03
1.342758334497677923e-03 3.363479096512290198e+03
1.356135834957547179e-03 3.394130601834833215e+03
1.369646611461180922e-03 3.425036518200193314e+03
1.383291991798019181e-03 3.456198366378824630e+03
1.397073316985871340e-03 3.487617665984208543e+03
1.410991941402707202e-03 3.519295935262931835e+03
1.425049232919760149e-03 3.551234690881418373e+03
1.439246573035956071e-03 3.583435447709309756e+03
1.453585357013682366e-03 3.615899718599351218e+03
1.468066994015908939e-03 3.648629014163892862e+03
1.482692907244675734e-03 3.681624842547957542e+03
1.497464534080960013e-03 3.714888709198796278e+03
1.512383326225936629e-03 3.748422116631983044e+03
1.527450749843645584e-03 3.782226564194066668e+03
1.542668285705081849e-03 3.816303547821569737e+03
1.558037429333719581e-03 3.850654559796628291e+03
1.573559691152487221e-03 3.885281088498945792e+03
1.589236596632205394e-03 3.920184618154306008e+03
1.605069686441505617e-03 3.955366628579431563e+03
1.621060516598241087e-03 3.990828594923306355e+03
1.637210658622406017e-03 4.026571987404909578e+03
1.653521699690579591e-03 4.062598271047279923e+03
1.669995242791907312e-03 4.098908905408081409e+03
1.686632906885636657e-03 4.135505337337791389e+03
1.703436327060223751e-03 4.172388935148493147e+03
1.720407154694021884e-03 4.209561015151179163e+03
1.737547057617574433e-03 4.247022882112993102e+03
1.754857720277522813e-03 4.284775829418199464e+03
1.772340843902147018e-03 4.322821138690312182e+03
1.789998146668556967e-03 4.361160079409796708e+03
1.807831363871548105e-03 4.399793908527359235e+03
1.825842248094139680e-03 4.438723870072787577e+03
1.844032569379812619e-03 4.477951194759333703e+03
1.862404115406462611e-03 4.517477099583788913e+03
1.880958691662086828e-03 4.557302787422057008e+03
1.899698121622220119e-03 4.597429446620407361e+03
1.918624246929139746e-03 4.637858250582342407e+03
1.937738927572855594e-03 4.678590357351082275e+03
1.957044042073901886e-03 4.719626909187782985e+03
1.976541487667953824e-03 4.760969032145415440e+03
1.996233180492276976e-03 4.802617835638331599e+03
2.016121055774042995e-03 4.844574412007566025e+03
2.036207068020512347e-03 4.886839836081950125e+03
2.056493191211118503e-03 4.929415164734989958e+03
2.076981418991463366e-03 4.972301436437500342e+03
2.097673764869243448e-03 5.015499670806155336e+03
2.118572262412132812e-03 5.059010866065260416e+03
2.139678965447631889e-03 5.102835945889713912e+03
2.160995948264913397e-03 5.146975752735458627e+03
2.182525305818671432e-03 5.191431101404381479e+03
2.204269153935010158e-03 5.236202781313129890e+03
2.226229629519376439e-03 5.281291555943648746e+03
2.248408890766569797e-03 5.326698162289530956e+03
2.270809117372837947e-03 5.372423310298199794e+03
2.293432510750094324e-03 5.418467682308874828e+03
2.316281294242259793e-03 5.464831932486676124e+03
2.339357713343768411e-03 5.511516686252582986e+03
2.362664035920244640e-03 5.558522539709657394e+03
2.386202552431380616e-03 5.605850059065363894e+03
2.409975576156036040e-03 5.653499780050286972e+03
2.433985443419578020e-03 5.701472207333017650e+03
2.458234513823477369e-03 5.749767813931699493e+03
2.482725170477226816e-03 5.798387040622058521e+03
2.507459820232507859e-03 5.847330295341999772e+03
2.532440893919766720e-03 5.896597952593098853e+03
2.557670846587067112e-03 5.946190352838762919e+03
2.583152157741405025e-03 5.996107801899520382e+03
2.608887331592343265e-03 6.046350570345183769e+03
2.634878897298158305e-03 6.096918892884413253e+03
2.661129409214353734e-03 6.147812967381664748e+03
2.687641447144736330e-03 6.199032908238315031e+03
2.714417616594906862e-03 6.250578699111550122e+03
2.741460549028361653e-03 6.302450270017494404e+03
2.768772902125060491e-03 6.354647506977390549e+03
2.796357360042658630e-03 6.407170251315067617e+03
2.824216633680248518e-03 6.460018298952025361e+03
2.852353460944825024e-03 6.513191399701249793e+03
2.880770607020309397e-03 6.566689256559151545e+03
2.909470864639348772e-03 6.620511524996451953e+03
2.938457054357728176e-03 6.674657812247597576e+03
2.967732024831611862e-03 6.729127676599515326e+03
2.997298653097450055e-03 6.783920626679338966e+03
3.027159844854774434e-03 6.839036120741679042e+03
3.057318534751707600e-03 6.894473565955554477e+03
3.087777686673421132e-03 6.950232317691050412e+03
3.118540294033364003e-03 7.006311678806160671e+03
3.149609380067495967e-03 7.062710898933763019e+03
3.180987998131348110e-03 7.119429173769181943e+03
3.212679232000146927e-03 7.176465644358386271e+03
3.244686196171825410e-03 7.233819396387255438e+03
3.277012036173155337e-03 7.291489459471938062e+03
3.309659928868826425e-03 7.349474806450544747e+03
3.342633082773710865e-03 7.407774352676411581e+03
3.375934738368127630e-03 7.466386914093011910e+03
3.409568168416362861e-03 7.525311090051648534e+03
3.443536678288248130e-03 7.584545376983486676e+03
3.477843606284055505e-03 7.644088203542258270e+03
3.512492323962518141e-03 7.703937929814351264e+03
3.547486236472231855e-03 7.764092846533248121e+03
3.582828782886240786e-03 7.824551174298521801e+03
3.618523436540078183e-03 7.885311062799709362e+03
3.654573705373052005e-03 7.946370590045567951e+03
3.690983132273051564e-03 8.007727761598941470e+03
3.727755295424672270e-03 8.069380509817437996e+03
3.764893808660923439e-03 8.131326693101018463e+03
3.802402321818323591e-03 8.193564095145646206e+03
3.840284521095653839e-03 8.256090424204830924e+03
3.878544129416162944e-03 8.318903312358024777e+03
3.917184906793502903e-03 8.382000314787535899e+03
3.956210650701189047e-03 8.445378909063319952e+03
3.995625196445862226e-03 8.509036494436824796e+03
4.035432417544147082e-03 8.572970391143808229e+03
4.075636226103390887e-03 8.637177839716820017e+03
4.116240573206064388e-03 8.701656000307468275e+03
4.157249449298128230e-03 8.766401952019399687e+03
4.198666884581131638e-03 8.831412692251731642e+03
4.240496949408351264e-03 8.896685105594360721e+03
4.282743754684744698e-03 8.962215760996117751e+03
4.325411452271023943e-03 9.028001029454415402e+03
4.368504235391613803e-03 9.094037186297633525e+03
4.412026339046818714e-03 9.160320411024245914e+03
4.455982040428949943e-03 9.226846786622645595e+03
4.500375659342745367e-03 9.293612298908434241e+03
4.545211558629832886e-03 9.360612835879364866e+03
4.590494144597564476e-03 9.427844187088483523e+03
4.636227867451980615e-03 9.495302043036499526e+03
4.682417221735233823e-03 9.562981994583398773e+03
4.729066746767218894e-03 9.630879532380287856e+03
4.776181027091759394e-03 9.698990046322143826e+03
4.823764692927081515e-03 9.767308825021675148e+03
4.871822420620933528e-03 9.835831055305483460e+03
4.920358933110078464e-03 9.904551821732360622e+03
4.969379000384531279e-03 9.973466106135399968e+03
5.018887439956251639e-03 1.004256878718748703e+04
5.068889117332672258e-03 1.011185463999141211e+04
5.119388946494785216e-03 1.018131833569522132e+04
5.170391890380149694e-03 1.025095444113309532e+04
5.221902961370547026e-03 1.032075741849272345e+04
5.273927221784663853e-03 1.039072162500954983e+04
5.326469784375517137e-03 1.046084129162839599e+04
5.379535812832994882e-03 1.053111017937588440e+04
5.433130522291246267e-03 1.060152162517709985e+04
5.487259179841287235e-03 1.067206883185623519e+04
5.541927105048544827e-03 1.074274487729380598e+04
5.597139670475733200e-03 1.081354271422129204e+04
5.652902302210761204e-03 1.088445517005555303e+04
5.709220480400075716e-03 1.095547494677582108e+04
5.766099739787141493e-03 1.102659462084210827e+04
5.823545670256467799e-03 1.109780664315751528e+04
5.881563917382866095e-03 1.116910333907442873e+04
5.940160182986372467e-03 1.124047690844575845e+04
5.999340225692505191e-03 1.131191942572218250e+04
6.059109861498298936e-03 1.138342284009615651e+04
6.119474964343783394e-03 1.145497897569344786e+04
6.180441466689344347e-03 1.152657953181338235e+04
6.242015360098654951e-03 1.159821608321816529e+04
6.304202695827594398e-03 1.166988008047268704e+04
6.367009585418849545e-03 1.174156285033513086e+04
6.430442201302633172e-03 1.181325559619954765e+04
6.494506777403186680e-03 1.188494939859085935e+04
6.559209609751529522e-03 1.195663521571377896e+04
6.624557057104105834e-03 1.202830388405537451e+04
6.690555541567806165e-03 1.209994611216753765e+04
6.757211549231000036e-03 1.217155209027584533e+04
6.824531630801073702e-03 1.224311126899298688e+04
6.892522402248101900e-03 1.231461290472363726e+04
6.961190545455147975e-03 1.238604611110672704e+04
7.030542808874828097e-03 1.245739986003888225e+04
7.100586008192631346e-03 1.252866298277610622e+04
7.171327026996631403e-03 1.259982417111426548e+04
7.242772817454091148e-03 1.267087197864981317e+04
7.314930400994584629e-03 1.274179482212152107e+04
7.387806869000149851e-03 1.281258098283457184e+04
7.461409383502088169e-03 1.288321860816705885e+04
7.535745177884941096e-03 1.295369571316087422e+04
7.610821557597240335e-03 1.302400018219727099e+04
7.686645900869581820e-03 1.309411977075771574e+04
7.763225659439608288e-03 1.316404210727155623e+04
7.840568359284464175e-03 1.323375469505058754e+04
7.918681601360291755e-03 1.330324491431154092e+04
7.997573062349357456e-03 1.337250002428717380e+04
8.077250495414352999e-03 1.344150716542672671e+04
8.157721730960486306e-03 1.351025336168588910e+04
8.238994677404883407e-03 1.357872552290736712e+04
8.321077321953938843e-03 1.364691044729227906e+04
8.403977731388132325e-03 1.371479482348603597e+04
8.487704052854939604e-03 1.378236476944288188e+04
8.572264514669370936e-03 1.384960495289662140e+04
8.657667427122718237e-03 1.391649966661847066e+04
8.743921183299221273e-03 1.398303306657199028e+04
8.831034259900904376e-03 1.404918917551209415e+04
8.919015218080649648e-03 1.411495188672224322e+04
9.007872704283548249e-03 1.418030496788941309e+04
9.097615451096640812e-03 1.424523206511829267e+04
9.188252278107130258e-03 1.430971670708440615e+04
9.279792092769127698e-03 1.437374230932691535e+04
9.372243891279059824e-03 1.443729217868159139e+04
9.465616759459762053e-03 1.450034951785335761e+04
9.559919873653417027e-03 1.456289743012934741e+04
9.655162501623366228e-03 1.462491892423189711e+04
9.751354003464907452e-03 1.468639691931128618e+04
9.848503832525175306e-03 1.474731425007840699e+04
9.946621536332179297e-03 1.480765367207655436e+04
1.004571675753310016e-02 1.486739786709198779e+04
1.014579923484193631e-02 1.492652944870281317e+04
1.024687880399658378e-02 1.498503096796493810e+04
1.034896539872546227e-02 1.504288491923526635e+04
1.045206905172376029e-02 1.510007374612988497e+04
1.055619989563941208e-02 1.515657984761706393e+04
1.066136816406890175e-02 1.521238524665537625e+04
1.076758419256297963e-02 1.526747001218304649e+04
1.087485841964240182e-02 1.532181347961837309e+04
1.098320138782379191e-02 1.537539492432403313e+04
1.109262374465571840e-02 1.542819357060777475e+04
1.120313624376509908e-02 1.548018860019002568e+04
1.131474974591402394e-02 1.553135916086836551e+04
1.142747522006711848e-02 1.558168437537742648e+04
1.154132374446952339e-02 1.563114335044130166e+04
1.165630650773563128e-02 1.567971518601556636e+04
1.177243480994866025e-02 1.572737898471697554e+04
1.188972006377118223e-02 1.577411386143640266e+04
1.200817379556672233e-02 1.581989895313273882e+04
1.212780764653252283e-02 1.586471342880352495e+04
1.224863337384360200e-02 1.590853649962870259e+04
1.237066285180819618e-02 1.595134742928318883e+04
1.249390807303473946e-02 1.599312554441403154e+04
1.261838114961043658e-02 1.603385024527728638e+04
1.274409431429160584e-02 1.607350101653012644e+04
1.287105992170585987e-02 1.611205743817268012e+04
1.299929044956628713e-02 1.614949919663426590e+04
1.312879849989769671e-02 1.618580609599820673e+04
1.325959680027511550e-02 1.622095806935982364e+04
1.339169820507460189e-02 1.625493500009681884e+04
1.352511569673651819e-02 1.628771463755546029e+04
1.365986238704141459e-02 1.631927336555671900e+04
1.379595151839858869e-02 1.634958768835747287e+04
1.393339646514751493e-02 1.637863427226777821e+04
1.407221073487221509e-02 1.640638996090657020e+04
1.421240796972874157e-02 1.643283179064354408e+04
1.435400194778587227e-02 1.645793700621644530e+04
1.449700658437917504e-02 1.648168307651396390e+04
1.464143593347854919e-02 1.650404771051309217e+04
1.478730418906940014e-02 1.652500887335976586e+04
1.493462568654757745e-02 1.654454480258108742e+04
1.508341490412819577e-02 1.656263402441681319e+04
1.523368646426850707e-02 1.657925537025825906e+04
1.538545513510494039e-02 1.659438799318016754e+04
1.553873583190445648e-02 1.660801138455411274e+04
1.569354361853037352e-02 1.662010539072771280e+04
1.584989370892277843e-02 1.663065022975681859e+04
1.600780146859370409e-02 1.663962650817547910e+04
1.616728241613719225e-02 1.664701523778862975e+04
1.632835222475440690e-02 1.665279785247258769e+04
1.649102672379392995e-02 1.665695622496703436e+04
1.665532190030743001e-02 1.665947268364312185e+04
1.682125390062078757e-02 1.666032999268164713e+04
1.698883903192091246e-02 1.665951021563858376e+04
1.715809376385835083e-02 1.665699449906590962e+04
1.732903473016585844e-02 1.665276443133374414e+04
1.750167873029310692e-02 1.664680214567981602e+04
1.767604273105767218e-02 1.663909033937455752e+04
1.785214386831246447e-02 1.662961229278915198e+04
1.802999944862978057e-02 1.661835188834476139e+04
1.820962695100214121e-02 1.660529362932077129e+04
1.839104402856003503e-02 1.659042265849930118e+04
1.857426851030683640e-02 1.657372477662340316e+04
1.875931840287095240e-02 1.655518646064561108e+04
1.894621189227544550e-02 1.653479488174339349e+04
1.913496734572530875e-02 1.651253792307804542e+04
1.932560331341251145e-02 1.648840419727288827e+04
1.951813853033904783e-02 1.646238306358721820e+04
1.971259191815814479e-02 1.643446464476106848e+04
1.990898258703380913e-02 1.640463984350733881e+04
2.010732983751891204e-02 1.637290035862628793e+04
2.030765316245197044e-02 1.633923870071836791e+04
2.050997224887282991e-02 1.630364820747076919e+04
2.071430697995743989e-02 1.626612305849345103e+04
2.092067743697189133e-02 1.622665828968021196e+04
2.112910390124594223e-02 1.618524981797495639e+04
2.133960685616618363e-02 1.614189662830318775e+04
2.155220698918906483e-02 1.609660337974916729e+04
2.176692519387399619e-02 1.604937619526742310e+04
2.198378257193668583e-02 1.600022201801165647e+04
2.220280043532292524e-02 1.594914861319347619e+04
2.242400030830306659e-02 1.589616456935549832e+04
2.264740392958734805e-02 1.584127929905215933e+04
2.287303325446227859e-02 1.578450303893086129e+04
2.310091045694833908e-02 1.572584684920709515e+04
2.333105793197915237e-02 1.566532261252781791e+04
2.356349829760238587e-02 1.560294303221757218e+04
2.379825439720256036e-02 1.553872162990282595e+04
2.403534930174602152e-02 1.547267274251045092e+04
2.427480631204825476e-02 1.540481151863744344e+04
2.451664896106383121e-02 1.533515391428820476e+04
2.476090101619910985e-02 1.526371668797831262e+04
2.500758648164803227e-02 1.519051739520254523e+04
2.525672960075115228e-02 1.511557438226729391e+04
2.550835485837819536e-02 1.503890677948654593e+04
2.576248698333433521e-02 1.496053449374276170e+04
2.601915095079044074e-02 1.488047820041356681e+04
2.627837198473756408e-02 1.479875933466703282e+04
2.654017556046584306e-02 1.471540008212737666e+04
2.680458740706812698e-02 1.463042859004684578e+04
2.707163350996854081e-02 1.454389580338281667e+04
2.734134011347623405e-02 1.445585861295735594e+04
2.761373372336456758e-02 1.436637377578411724e+04
2.788884110947601261e-02 1.427549787019797805e+04
2.816668930835299067e-02 1.418328725235383536e+04
2.844730562589492875e-02 1.408979801405646322e+04
2.873071764004177242e-02 1.399508594194036596e+04
2.901695320348425186e-02 1.389920647801775522e+04
2.930604044640114370e-02 1.380221468160823679e+04
2.959800777922379916e-02 1.370416519266187061e+04
2.989288389542820931e-02 1.360511219648559927e+04
3.019069777435490556e-02 1.350510938987817644e+04
3.049147868405694198e-02 1.340420994867898480e+04
3.079525618417624372e-02 1.330246649673157663e+04
3.110206012884862703e-02 1.319993107626187702e+04
3.141192066963775092e-02 1.309665511966785380e+04
3.172486825849829550e-02 1.299268942271602646e+04
